No. of straight lines,Median height,Median width,Median radius,Median rectangularity ratio,Median circularity ratio,Median rectangular area,Median circular area
2130,68.0,70.0,64.0,0.34347117794486215,0.3433333333333333,4760.0,12867.963509103793

2202,67.0,72.0,64.0,0.34820377030984717,0.34811165845648606,4824.0,12867.963509103793

2095,69.0,72.0,68.0,0.3338772123893805,0.33256875069807423,4968.0,14526.724430199205

2020,78.5,86.0,68.0,0.32689461988825047,0.32323232323232326,6751.0,14526.724430199205

387,72.0,74.5,62.5,0.3404546269727403,0.3322812051649928,5364.0,12271.846303085129

4966,66.0,103.0,75.5,0.33283383283383283,0.3315573315573316,6798.0,17907.863523625216

5121,71.0,101.5,73.0,0.32744714433482563,0.32720125786163523,7206.5,16741.547250980006

4873,78.0,122.0,78.0,0.2877140974967062,0.2868147952272263,9516.0,19113.4497044403

8040,60.0,83.5,67.0,0.372232123376685,0.3716009988901221,5010.0,14102.60942196458

8442,67.5,103.0,73.0,0.34848085901027076,0.3482222222222222,6952.5,16741.547250980006

6565,70.0,93.5,72.0,0.3503241486941098,0.34958791208791207,6545.0,16286.016316209487

6522,71.5,96.5,76.0,0.34532311251272163,0.3453018372703412,6899.75,18145.839167134644

4379,75.0,96.0,75.0,0.3464,0.3454293538724861,7200.0,17671.458676442588

6376,69.0,103.0,76.5,0.323731007554537,0.32323232323232326,7107.0,18385.385606970867

8539,75.0,114.0,76.0,0.3529264238062355,0.3525213199851687,8550.0,18145.839167134644

8539,75.0,112.5,75.0,0.3278857916905927,0.3267170762444864,8437.5,17671.458676442588

7687,72.0,103.0,82.0,0.3313829787234043,0.33112662893477274,7416.0,21124.069002737768

7553,71.0,104.0,84.0,0.39017933615120315,0.3887959866220736,7384.0,22167.077763729583

2652,84.5,160.5,97.0,0.32609417654379114,0.3258273984080436,13562.25,29559.245277626364

4144,47.0,62.0,47.5,0.43212234398675076,0.4318122555410691,2914.0,7088.218424661971

4142,47.0,65.0,45.0,0.4265564030009549,0.42571877146501813,3055.0,6361.725123519332

3958,47.0,62.0,45.0,0.4150821496087801,0.4118705035971223,2914.0,6361.725123519332

4548,41.0,52.0,38.0,0.42719298245614035,0.4271415246260447,2132.0,4536.459791783661

5539,41.0,52.0,40.0,0.4294642857142857,0.4293579931972789,2132.0,5026.548245743669

5417,38.0,45.0,39.0,0.4153305324530567,0.41523105570021257,1710.0,4778.362426110075

5580,41.0,48.0,38.0,0.42317460317460315,0.42274357981675054,1968.0,4536.459791783661

3426,42.0,52.0,41.0,0.4246034113442537,0.4244663382594417,2184.0,5281.017250684442

5302,46.0,54.0,45.0,0.4272163824795404,0.4266233766233766,2484.0,6361.725123519332

7907,45.0,54.0,43.0,0.4246673982046323,0.4246212121212121,2430.0,5808.804816487527

8295,48.0,58.0,45.0,0.4327006039689387,0.43262014325431064,2784.0,6361.725123519332

9349,44.0,47.0,36.0,0.45357833655706,0.4534791449685067,2068.0,4071.5040790523717

6901,46.0,52.0,38.0,0.43475877192982454,0.4332884768740032,2392.0,4536.459791783661

1924,53.0,56.0,43.0,0.3967948717948718,0.3945371417797888,2968.0,5808.804816487527

2565,77.0,83.0,62.0,0.32108687492090854,0.32103952692187987,6391.0,12076.282160399165

2450,81.5,93.0,72.5,0.29252418756359155,0.2920806857435285,7579.5,16512.99638543135

2634,69.0,76.0,61.0,0.3317492158526,0.3314144736842105,5244.0,11689.86626400762

2795,66.0,61.0,48.0,0.3461596051464064,0.3453804347826087,4026.0,7238.229473870883

2447,77.0,74.0,58.0,0.3347727272727273,0.33195405002581224,5698.0,10568.317686676064

2045,72.0,77.0,51.5,0.3051378446115288,0.30491657465341676,5544.0,8332.289115483529

1940,71.5,74.0,58.5,0.30173352866050634,0.3017241379310345,5291.0,10751.31545874767

2214,67.0,74.5,57.0,0.3083023233019684,0.30755208333333334,4991.5,10207.034531513238

3371,71.0,71.0,51.0,0.3041125541125541,0.30387700534759354,5041.0,8171.282491987052

2803,70.5,64.5,50.0,0.2976632400533029,0.29753236245954695,4547.25,7853.981633974483

2890,61.0,65.0,50.5,0.30096774193548387,0.30093635965552473,3965.0,8011.84666481737

2678,67.0,73.0,52.0,0.30873758865248224,0.3087338736913205,4891.0,8494.8665353068

1936,68.0,59.0,50.0,0.31200396825396826,0.3115079365079365,4012.0,7853.981633974483

1019,142.5,174.0,155.0,0.11722443892462306,0.11716194748154378,24795.0,75476.76350249478

4443,54.5,54.0,43.0,0.4662878787878788,0.4659090909090909,2943.0,5808.804816487527

4351,54.5,53.0,42.0,0.45204378047515303,0.4517066085693537,2888.5,5541.769440932396

4096,52.0,54.0,51.0,0.42420168067226893,0.42407173980703394,2808.0,8171.282491987052

5451,54.0,49.0,41.5,0.4455480936479366,0.4455211024978467,2646.0,5410.607947645021

5083,52.5,51.0,41.0,0.4666472346562096,0.46330724070450097,2677.5,5281.017250684442

4402,47.0,44.0,40.0,0.4830220713073005,0.482879322098663,2068.0,5026.548245743669

4493,51.5,46.0,40.0,0.4662070952235614,0.46271534044298607,2369.0,5026.548245743669

6861,52.0,52.0,39.0,0.5041720240757305,0.5033052884615384,2704.0,4778.362426110075

6435,54.0,51.0,37.0,0.5087013942537615,0.5086772983114447,2754.0,4300.840342764427

6628,54.0,52.0,41.0,0.4606164383561644,0.45929445057937024,2808.0,5281.017250684442

6581,53.0,52.0,38.0,0.46751441124490034,0.46746031746031746,2756.0,4536.459791783661

5598,53.0,50.0,35.0,0.5368764681264682,0.5368506493506493,2650.0,3848.4510006474966

8591,53.0,52.0,37.0,0.4811036300599868,0.479947689625109,2756.0,4300.840342764427

1625,57.0,57.5,38.0,0.46665541169895675,0.46510416666666665,3277.5,4536.459791783661

1810,51.0,59.5,46.0,0.412199904135388,0.411957411957412,3034.5,6647.610054996002

1479,52.0,61.0,42.0,0.40549062716963663,0.40497573156866096,3172.0,5541.769440932396

1421,52.0,63.0,40.0,0.3942766295707472,0.39270283091440583,3276.0,5026.548245743669

1503,57.0,59.0,39.0,0.4152501168770454,0.41397849462365593,3363.0,4778.362426110075

1537,54.0,54.0,37.0,0.4209887334887335,0.42008617296446243,2916.0,4300.840342764427

1185,54.0,56.0,37.5,0.4251388888888889,0.4251167034236505,3024.0,4417.864669110647

1043,56.0,61.0,42.0,0.41073716237856306,0.40970961887477314,3416.0,5541.769440932396

1842,56.0,66.5,46.0,0.38229516532318253,0.38183170995670995,3724.0,6647.610054996002

1421,55.0,65.0,46.0,0.36022567760237534,0.3591219096334186,3575.0,6647.610054996002

1949,55.0,59.0,39.0,0.3885852691942435,0.3881172839506173,3245.0,4778.362426110075

1796,57.0,58.5,39.0,0.37960957368852105,0.3785885167464115,3334.5,4778.362426110075

1429,58.0,58.0,34.0,0.413003663003663,0.40816849816849815,3364.0,3631.6811075498013

1451,56.0,56.0,35.0,0.3731481481481482,0.3730754514845424,3136.0,3848.4510006474966

973,60.0,63.0,48.0,0.3479832810867294,0.35096656217345873,3780.0,7238.229473870883

3431,66.5,68.0,52.5,0.43368338557993735,0.4324137931034483,4522.0,8659.014751456867

3526,60.0,58.0,57.0,0.4449009673220217,0.44465425531914893,3480.0,10207.034531513238

3049,75.0,76.0,56.5,0.43601190476190477,0.435805141021926,5700.0,10028.749148422017

3671,58.0,58.5,43.0,0.4910987168541272,0.49050632911392406,3393.0,5808.804816487527

3890,56.0,52.0,44.0,0.46426394922986214,0.4639811148339933,2912.0,6082.123377349839

2758,60.0,53.0,47.0,0.4377723311546841,0.43636584037409,3180.0,6939.778171779853

2987,62.0,54.0,43.0,0.46143057503506313,0.46052895211380485,3348.0,5808.804816487527

